trata	expH	ExpoH	GomH	GamH	LogH
V1	0,689	0,7155	0,017	0,6162	0,0067
V1	0,632	1,253	0,1546	2,249	0,0291
V1	0,747	2,195	0,8288	4,807	0,1268
V1	2,501	3,845	2,902	8,203	0,5481
V1	4,384	6,735	7,27	12,36	2,306
V1	6,627	11,7	14,17	17,18	8,69
V1	24,167	20,66	22,84	22,62	23,41
V1	36,194	36,1	32,06	28,58	36,38
V1	1,025	0,6921	0,0324	0,6052	0,0121
V1	1,576	1,173	0,3756	2,155	0,0958
V1	1,906	1,987	1,933	4,483	0,7393
V1	3,219	3,366	5,522	7,438	4,832
V1	16,611	5,702	10,58	10,88	14,88
V1	11,694	9,661	15,67	14,6	18,35
V1	17,472	16,37	19,7	18,78	18,5
V1	25,25	27,73	22,72	23,04	18,61
V2	0,733	0,7325	0,0169	0,6419	0,0064
V2	0,538	1,313	0,1554	2,402	0,0271
V2	0,951	2,355	0,8495	5,231	0,1138
V2	2,783	4,223	3,049	9,072	0,4763
V2	3,166	7,573	7,854	13,86	1,962
V2	4,6	13,58	15,68	19,55	7,596
V2	24,667	24,35	25,85	26,06	23,73
V2	46,028	43,66	36,9	33,34	46,17
V2	0,903	0,6831	0,0395	0,6006	0,012
V2	1,659	1,142	0,4827	2,118	0,0941
V2	3,458	1,9	2,395	4,361	0,7187
V2	2,753	3,194	6,324	7,157	4,643
V2	15,722	5,34	11,13	10,36	14,15
V2	13,389	8,92	15,34	13,84	17,42
V2	17	14,93	18,35	17,48	17,67
V2	21,417	24,97	20,26	21,2	17,68
V3	0,517	0,7325	0,0192	0,6241	0,0065
V3	0,814	1,314	0,1861	2,311	0,0273
V3	1,143	2,355	1,026	5,016	0,1154
V3	2,798	4,224	3,593	8,694	0,4849
V3	3,745	7,574	8,869	13,2	2,005
V3	4,917	13,58	16,85	18,79	7,769
V3	25,306	24,35	26,43	25,12	24,09
V3	45,861	43,67	36,17	32,26	46,08
V3	0,953	0,6936	0,0383	0,6067	0,0122
V3	1,677	1,178	0,4721	2,167	0,0963
V3	3,05	1,999	2,408	4,524	0,7455
V3	2,244	3,395	6,579	7,532	4,925
V3	17,599	5,764	11,95	11,06	15,58
V3	15,371	9,787	16,86	14,99	19,42
V3	17,111	16,62	20,52	19,23	19,7
V3	25,25	28,21	22,91	23,67	19,72
V4	0,739	0,7269	0,0176	0,586	0,0062
V4	0,821	1,294	0,163	2,123	0,025
V4	1,003	2,302	0,8852	4,564	0,1011
V4	3,729	4,096	3,119	7,884	0,4071
V4	3,796	7,289	7,83	12,06	1,621
V4	4,874	12,97	15,25	17,08	6,173
V4	20,472	23,08	24,52	22,93	20,13
V4	44,472	41,07	34,33	29,59	44,51
V4	1,111	0,6877	0,0439	0,6037	0,0124
V4	2,088	1,158	0,5599	2,142	0,0994
V4	3,067	1,949	2,766	4,44	0,7796
V4	3,166	3,282	7,121	7,338	5,119
V4	16,609	5,526	12,18	10,6	15,22
V4	15,556	9,303	16,37	14,39	18,37
V4	16,222	15,66	19,21	18,31	18,58
V4	23	26,37	20,94	22,38	18,59
V5	0,6	0,7263	0,0189	0,6201	0,0066
V5	0,778	1,291	0,1814	2,278	0,0286
V5	0,906	2,296	0,992	4,901	0,1233
V5	4,122	4,082	3,456	8,417	0,5291
V5	4,18	7,258	8,501	12,76	2,221
V5	5,499	12,9	16,11	17,86	8,535
V5	26,111	22,94	25,25	23,65	24,59
V5	41,111	40,79	34,52	30,08	41,56
V5	1,047	0,6945	0,0348	0,6063	0,0118
V5	1,3	1,181	0,4145	2,163	0,0904
V5	2,388	2,008	2,136	4,511	0,6795
V5	2,128	3,414	6,01	7,502	4,441
V5	16,618	5,804	11,32	11	14,88
V5	15,306	9,869	16,48	14,8	19,39
V5	16,917	16,78	20,53	19,08	19,77
V5	25,75	28,53	23,32	23,47	19,79
