trata	expH	expR	ExpoH	ExpoR	GomH	GomR	GamH	GamR	LogH	LogR
V1	0,689	0,233	0,7155	0,3684	0,017	0,9846	0,6162	1,928	0,0067	0,8503
V1	0,632	0,246	1,253	0,4785	0,1546	0,9905	2,249	1,961	0,0291	0,8525
V1	0,747	0,399	2,195	0,7148	0,8288	1,034	4,807	2,052	0,1268	0,863
V1	2,501	0,329	3,845	1,161	2,902	1,218	8,203	2,225	0,5481	0,9158
V1	4,384	1,927	6,735	1,965	7,27	1,75	12,36	2,502	2,306	1,139
V1	6,627	2,991	11,7	3,392	14,17	2,951	17,18	2,904	8,69	2,038
V1	24,167	5,694	20,66	5,905	22,84	5,06	22,62	3,449	23,41	4,96
V1	36,194	10,722	36,1	10,32	32,06	8,237	28,58	4,153	36,38	10,98
V1	1,025	0,578	0,6921	0,3846	0,0324	0,9849	0,6052	1,934	0,0121	0,8502
V1	1,576	0,585	1,173	0,5089	0,3756	0,9994	2,155	2,005	0,0958	0,8537
V1	1,906	2,309	1,987	0,7549	1,933	1,106	4,483	2,192	0,7393	0,8846
V1	3,219	1,275	3,366	1,198	5,522	1,501	7,438	2,538	4,832	1,111
V1	16,611	2,722	5,702	1,96	10,58	2,412	10,88	3,076	14,88	2,166
V1	11,694	5,111	9,661	3,291	15,67	3,943	14,6	3,835	18,35	4,12
V1	17,472	5,806	16,37	5,542	19,7	6,039	18,78	4,832	18,5	6,271
V1	25,25	8,222	27,73	9,363	22,72	8,565	23,04	6,082	18,61	8,423
V2	0,733	0,264	0,7325	0,3731	0,0169	0,9842	0,6419	1,927	0,0064	0,271
V2	0,538	0,154	1,313	0,4506	0,1554	0,9858	2,402	1,952	0,0271	0,0898
V2	0,951	0,352	2,355	0,6049	0,8495	1,001	5,231	2,024	0,1138	0,0412
V2	2,783	0,289	4,223	0,8956	3,049	1,067	9,072	2,163	0,4763	0,065
V2	3,166	1,316	7,573	1,43	7,854	1,268	13,86	2,389	1,962	0,2403
V2	4,6	1,948	13,58	2,401	15,68	1,723	19,55	2,723	7,596	0,9527
V2	24,667	3,75	24,35	4,152	25,85	2,548	26,06	3,181	23,73	3,345
V2	46,028	8,139	43,66	7,304	36,9	3,816	33,34	3,77	46,17	8,39
V2	0,903	0,431	0,6831	0,4116	0,0395	0,9239	0,6006	1,936	0,012	0,849
V2	1,659	0,709	1,142	0,5485	0,4827	0,8862	2,118	2,02	0,0941	0,852
V2	3,458	1,081	1,9	0,791	2,395	0,9731	4,361	2,238	0,7187	0,8817
V2	2,753	2,006	3,194	1,209	6,324	1,405	7,157	2,636	4,643	1,092
V2	15,722	2,111	5,34	1,919	11,13	2,365	10,36	3,25	14,15	2,057
V2	13,389	4,111	8,92	3,117	15,34	3,842	13,84	4,105	17,42	3,846
V2	17	6,083	14,93	5,128	18,35	5,688	17,48	5,217	17,67	5,795
V2	21,417	7,333	24,97	8,5	20,26	7,73	21,2	6,595	17,68	7,754
V3	0,517	0,261	0,7325	0,4117	0,0192	0,9846	0,6241	1,925	0,0065	0,7537
V3	0,814	0,287	1,314	0,5634	0,1861	0,9919	2,311	1,941	0,0273	0,6711
